Year Gene BinFreq NS S ProportionNS NumVariants
within-host 2-PB1 0.1 14 16 0.466666666666667 30
within-host 3-PA 0.1 7 11 0.388888888888889 18
within-host 4-HA 0.1 17 18 0.485714285714286 35
within-host 5-NP 0.1 1 4 0.2 5
within-host 6-NA 0.1 26 8 0.764705882352941 34
within-host 7-M1 0.1 4 2 0.666666666666667 6
within-host 7-M2 0.1 3 0 1 3
within-host 8-NEP 0.1 5 5 0.5 10
within-host 8-NS1 0.1 3 3 0.5 6
within-host 1-PB2 0.316227766016838 0 4 0 4
within-host 2-PB1 0.316227766016838 2 9 0.181818181818182 11
within-host 3-PA 0.316227766016838 5 5 0.5 10
within-host 4-HA 0.316227766016838 4 5 0.444444444444444 9
within-host 5-NP 0.316227766016838 4 3 0.571428571428571 7
within-host 6-NA 0.316227766016838 2 0 1 2
within-host 7-M1 0.316227766016838 2 1 0.666666666666667 3
within-host 7-M2 0.316227766016838 2 0 1 2
within-host 8-NEP 0.316227766016838 0 2 0 2
